V1 shortname gene ID
AAK1,chr2,-,69757139,69766553,69757139,69759294,69769654,69769797 AAK1 A3SS 6 AAK1 rMATS_1
CALU,chr7,+,128393871,128394509,128394315,128394509,128387606,128388858 CALU A3SS U1 CALU rMATS_1978
CALU,chr7,+,128394315,128394509,128387172,128388858,128398924,128399091 CALU SE 4a CALU rMATS_1979
CALU,chr7,+,128407509,128407709,128399845,128399906,128409116,128409250 CALU SE 8 CALU rMATS_1980
CAMK1D,chr10,+,12691652,12692144,12595223,12595355,12708734,12708809 CAMK1D SE U1 CAMK1D rMATS_1981
CAMK2G,chr10,-,75583797,75585105,75583797,75583842,75585078,75585105 CAMK2G RI 18-17 CAMK2G rMATS_1982
CAMK2G,chr10,-,75585036,75585105,75583797,75583842,75597225,75597269 CAMK2G SE 17a CAMK2G rMATS_1983
CAMK2G,chr10,-,75585036,75585105,75585078,75585105,75583797,75583842 CAMK2G A5SS 17 CAMK2G rMATS_1984
CAMK2G,chr10,-,75585078,75585105,75583797,75583842,75597225,75597269 CAMK2G SE 17 CAMK2G rMATS_1985
CAMKK2,chr12,-,121706440,121707384,121706440,121706492,121707330,121707384 CAMKK2 RI 6-5 CAMKK2 rMATS_1986
CAMLG,chr5,+,134076752,134077213,134074169,134074482,134079676,134079742 CAMLG SE 2 CAMLG rMATS_1987
CAMLG,chr5,+,134076752,134077213,134074169,134074482,134086448,134087850 CAMLG SE 2_v1 CAMLG rMATS_1988
CAMLG,chr5,+,134079676,134079742,134076752,134077213,134086448,134087850 CAMLG SE 3 CAMLG rMATS_1989
CAMTA1,chr1,+,6867042,6880310,6845534,6845635,6885151,6898852 CAMTA1 SE 2 CAMTA1 rMATS_1990
CAMTA1,chr1,+,6880240,6880310,6845383,6845635,6885151,6885270 CAMTA1 SE 2a CAMTA1 rMATS_1991
CAND1,chr12,+,67675689,67688936,67675689,67686556,67688812,67688936 CAND1 RI 3-5 CAND1 rMATS_1992
CAND1,chr12,+,67685297,67686556,67675689,67675833,67688812,67688936 CAND1 SE 4 CAND1 rMATS_1993
CAND1,chr12,+,67686401,67686556,67675556,67675833,67688812,67688936 CAND1 SE 4a CAND1 rMATS_1994
CAND1,chr12,+,67688047,67688936,67688812,67688936,67686401,67686556 CAND1 A3SS U1 CAND1 rMATS_1995
CAND1,chr12,+,67691244,67691443,67686401,67688936,67691527,67691633 CAND1 SE 6 CAND1 rMATS_1996
CAND1,chr12,+,67691527,67692875,67691527,67691633,67692824,67692875 CAND1 RI 7-8 CAND1 rMATS_1997
CAND1,chr12,+,67692729,67692875,67692824,67692875,67691527,67691633 CAND1 A3SS 8 CAND1 rMATS_1998
CAND1,chr12,+,67698384,67698526,67696102,67696395,67701176,67701272 CAND1 SE 10 CAND1 rMATS_1999
CAND1,chr12,+,67698883,67700377,67696102,67696395,67701176,67701272 CAND1 SE 11 CAND1 rMATS_2000
CAP1,chr1,+,40506254,40506473,40506254,40506455,40525008,40525130 CAP1 A5SS 1 CAP1 rMATS_2001
CAP1,chr1,+,40507100,40507165,40504633,40506473,40525005,40525130 CAP1 SE U1 CAP1 rMATS_2002
CAP1,chr1,+,40507100,40507165,40506339,40506455,40525008,40525130 CAP1 SE U2 CAP1 rMATS_2003
CAP1,chr1,+,40530145,40531992,40530145,40530231,40531886,40531992 CAP1 RI 6-7 CAP1 rMATS_2004
CAP1,chr1,+,40531886,40533389,40531886,40531992,40533211,40533389 CAP1 RI 7-8 CAP1 rMATS_2005
CAP1,chr1,+,40535361,40535954,40535361,40535546,40535830,40535954 CAP1 RI 9-10 CAP1 rMATS_2006
CAPN7,chr3,+,15264981,15269472,15264981,15265068,15269345,15269472 CAPN7 RI 6-7 CAPN7 rMATS_2007
CAPN7,chr3,+,15269340,15270566,15269340,15269472,15270480,15270566 CAPN7 RI 7-8 CAPN7 rMATS_2008
CAPN7,chr3,+,15274025,15276652,15274025,15274172,15275373,15276652 CAPN7 RI 10-12 CAPN7 rMATS_2009
CAPN7,chr3,+,15281979,15287178,15281979,15282360,15287032,15287178 CAPN7 RI 13-17 CAPN7 rMATS_2010
CAPN7,chr3,+,15281979,15288301,15281979,15282124,15288238,15288301 CAPN7 RI 13-18 CAPN7 rMATS_2011
CAPN7,chr3,+,15282260,15282360,15281979,15282124,15283684,15283760 CAPN7 SE 14 CAPN7 rMATS_2012
CAPN7,chr3,+,15283684,15283760,15281979,15282124,15287032,15287178 CAPN7 SE 16 CAPN7 rMATS_2013
CAPN7,chr3,+,15287032,15287178,15282260,15283760,15288238,15288301 CAPN7 SE 17 CAPN7 rMATS_2014
CAPN7,chr3,+,15288238,15288964,15288238,15288301,15288833,15288964 CAPN7 RI 18-19 CAPN7 rMATS_2015
CAPN7,chr3,+,15292446,15292530,15288833,15288964,15292622,15293265 CAPN7 SE 20 CAPN7 rMATS_2016
CAPRIN1,chr11,+,34098713,34101312,34101174,34101312,34097782,34098189 CAPRIN1 A3SS U1 CAPRIN1 rMATS_2017
CAPRIN1,chr11,+,34101103,34101312,34101174,34101312,34097782,34098189 CAPRIN1 A3SS U2 CAPRIN1 rMATS_2018
CAPRIN1,chr11,+,34104501,34104588,34098106,34104424,34107610,34107766 CAPRIN1 SE 10 CAPRIN1 rMATS_2019
CAPRIN1,chr11,+,34113452,34113603,34111725,34112225,34118025,34118139 CAPRIN1 SE 16 CAPRIN1 rMATS_2020
CAPRIN1,chr11,+,34118025,34118843,34118025,34118220,34118742,34118843 CAPRIN1 RI 17-18 CAPRIN1 rMATS_2021
CAPRIN1,chr11,+,34118025,34119308,34118025,34118843,34119244,34119308 CAPRIN1 RI 17-19 CAPRIN1 rMATS_2022
CAPRIN1,chr11,+,34118742,34118843,34118025,34118220,34119244,34119308 CAPRIN1 SE 18 CAPRIN1 rMATS_2023
CAPRIN1,chr11,+,34118742,34118843,34118025,34118220,34120849,34123244 CAPRIN1 SE 18_v1 CAPRIN1 rMATS_2024
CAPRIN1,chr11,+,34119244,34122656,34119244,34119308,34120849,34122656 CAPRIN1 RI 19-20 CAPRIN1 rMATS_2025
CAPRIN2,chr12,-,30886562,30886645,30884276,30884444,30887901,30888140 CAPRIN2 SE 5 CAPRIN2 rMATS_2026
CAPZA1,chr1,+,113186493,113189895,113186493,113186609,113189831,113189895 CAPZA1 RI U-2 CAPZA1 rMATS_2027
CAPZA1,chr1,+,113192039,113196283,113192039,113192091,113196219,113196283 CAPZA1 RI 3-4 CAPZA1 rMATS_2028
CAPZA1,chr1,+,113192039,113197293,113192039,113192091,113197086,113197293 CAPZA1 RI 3-5a CAPZA1 rMATS_2029
CAPZA1,chr1,+,113192039,113197293,113192039,113196283,113197086,113197293 CAPZA1 RI 3-5 CAPZA1 rMATS_2030
CAPZA1,chr1,+,113193415,113196283,113192039,113192091,113197086,113197293 CAPZA1 SE 4 CAPZA1 rMATS_2031
CAPZA1,chr1,+,113194113,113196283,113192039,113192091,113197086,113197293 CAPZA1 SE 4a CAPZA1 rMATS_2032
CAPZA1,chr1,+,113196232,113196283,113192039,113192091,113197086,113197293 CAPZA1 SE 4b CAPZA1 rMATS_2033
CAPZA1,chr1,+,113196450,113197293,113197086,113197293,113196219,113196283 CAPZA1 A3SS U1 CAPZA1 rMATS_2034
CAPZA1,chr1,+,113202258,113202401,113202322,113202401,113201643,113201723 CAPZA1 A3SS U2 CAPZA1 rMATS_2035
CAPZA1,chr1,+,113202322,113209767,113202322,113202401,113209695,113209767 CAPZA1 RI 7-8 CAPZA1 rMATS_2036
CAPZA1,chr1,+,113203827,113203874,113201643,113202401,113209695,113209767 CAPZA1 SE U3 CAPZA1 rMATS_2037
CAPZA1,chr1,+,113203827,113204418,113202322,113202401,113209695,113209767 CAPZA1 SE U4 CAPZA1 rMATS_2038
CAPZA1,chr1,+,113203827,113206078,113202322,113202401,113209695,113209767 CAPZA1 SE U5 CAPZA1 rMATS_2039
CAPZA2,chr7,+,116533047,116544437,116533047,116538889,116544230,116544437 CAPZA2 RI 5-7 CAPZA2 rMATS_2040
CAPZA2,chr7,+,116546316,116546396,116533047,116544437,116550266,116550365 CAPZA2 SE 8 CAPZA2 rMATS_2041
CAPZA2,chr7,+,116546316,116546396,116533047,116544437,116550286,116550365 CAPZA2 SE 8_v1 CAPZA2 rMATS_2042
CAPZA2,chr7,+,116546316,116550365,116546316,116546396,116550266,116550365 CAPZA2 RI 8-9 CAPZA2 rMATS_2043
CAPZA2,chr7,+,116546316,116550365,116546316,116546396,116550286,116550365 CAPZA2 RI 8-9a CAPZA2 rMATS_2044
CARD8,chr19,-,48724986,48725112,48718596,48718641,48733694,48733913 CARD8 SE 12 CARD8 rMATS_2045
CARD8,chr19,-,48749331,48749638,48744218,48744320,48752779,48752890 CARD8 SE U1 CARD8 rMATS_2046
CARD8,chr19,-,48752779,48752890,48744218,48744320,48753007,48753104 CARD8 SE 3 CARD8 rMATS_2047
CARD8,chr19,-,48752779,48752890,48745290,48745901,48753007,48753104 CARD8 SE 3_v1 CARD8 rMATS_2048
CARS,chr11,-,3049942,3050314,3047905,3048027,3050532,3050673 CARS SE 10 CARS rMATS_2049
CARS2,chr13,-,111340067,111340173,111335397,111335481,111353784,111353902 CARS2 SE 6 CARS2 rMATS_2050
CARS2,chr13,-,111340293,111340365,111335397,111335481,111353784,111353902 CARS2 SE 5 CARS2 rMATS_2051
CASC4,chr15,+,44630434,44630515,44629960,44630105,44671887,44671986 CASC4 SE 7 CASC4 rMATS_2052
CASC4,chr15,+,44695084,44695252,44673003,44673174,44705533,44705634 CASC4 SE 11 CASC4 rMATS_2053
CASC5,chr15,+,40912837,40912936,40911156,40911209,40920267,40920406 CASC5 SE 11 CASC5 rMATS_2054
CASC5,chr15,+,40912837,40913384,40911156,40911209,40920267,40920406 CASC5 SE 11a CASC5 rMATS_2055
CASC5,chr15,+,40912837,40916227,40911156,40911209,40920267,40920406 CASC5 SE 11b CASC5 rMATS_2056
CASC5,chr15,+,40920808,40920876,40920267,40920406,40921470,40921569 CASC5 SE 13 CASC5 rMATS_2057
CASC5,chr15,+,40937853,40937970,40937194,40937285,40939184,40939272 CASC5 SE 17a CASC5 rMATS_2058
CASC5,chr15,+,40937853,40938100,40937194,40937285,40939184,40939272 CASC5 SE 17 CASC5 rMATS_2059
CASC5,chr15,+,40949552,40949671,40949239,40949349,40951536,40951659 CASC5 SE 25 CASC5 rMATS_2060
CASP1,chr11,-,104896952,104897083,104893856,104896327,104897568,104897678 CASP1 SE 17a CASP1 rMATS_2061
CASP1,chr11,-,104896972,104897083,104895005,104896327,104897568,104897678 CASP1 SE 17 CASP1 rMATS_2062
CASP1,chr11,-,104899850,104899994,104896236,104897678,104900391,104900626 CASP1 SE 15 CASP1 rMATS_2063
CASP1,chr11,-,104903790,104903853,104901056,104902007,104904934,104905115 CASP1 SE 11 CASP1 rMATS_2064
CASP1.CARD16,chr11,-,104912880,104914272,104912331,104912446,104915118,104915385 CARD16,CASP1 SE 3,7 CARD16,CASP1 rMATS_2065
CASP10,chr2,+,202057706,202057842,202050493,202052522,202060564,202060671 CASP10 SE 4 CASP10 rMATS_2066
CASP3,chr4,-,185556447,185556568,185553421,185553550,185559554,185559622 CASP3 SE 5 CASP3 rMATS_2067
CASP3,chr4,-,185569618,185569785,185559554,185559622,185570548,185570593 CASP3 SE 2a CASP3 rMATS_2068
CASP3,chr4,-,185569656,185569785,185559554,185559622,185570548,185570588 CASP3 SE 2 CASP3 rMATS_2069
CASP4,chr11,-,104821651,104821825,104813593,104820504,104825473,104825728 CASP4 SE 5 CASP4 rMATS_2070
CASP4,chr11,-,104821651,104821825,104813593,104820504,104839245,104839306 CASP4 SE 5_v1 CASP4 rMATS_2071
CASP4,chr11,-,104822622,104822732,104813593,104820504,104825473,104825725 CASP4 SE 4 CASP4 rMATS_2072
CASP4,chr11,-,104825473,104825728,104815474,104820504,104839245,104839292 CASP4 SE 3 CASP4 rMATS_2073
CASP7,chr10,+,115451722,115451829,115439427,115439737,115457252,115457362 CASP7 SE 3 CASP7 rMATS_2074
CASP8,chr2,+,202125279,202125336,202098738,202098835,202131183,202131514 CASP8 SE 5 CASP8 rMATS_2075
CASP8,chr2,+,202131183,202131514,202131209,202131514,202098738,202098835 CASP8 A3SS 6 CASP8 rMATS_2076
CASP8,chr2,+,202131183,202131514,202131209,202131514,202125222,202125336 CASP8 A3SS 6_v1 CASP8 rMATS_2077
CASP8,chr2,+,202136238,202136344,202131183,202131514,202137360,202137499 CASP8 SE 8 CASP8 rMATS_2078
CASP8,chr2,+,202137360,202137665,202137360,202137499,202137627,202137665 CASP8 RI 9-10 CASP8 rMATS_2079
CASP8,chr2,+,202137620,202137665,202137360,202137499,202139611,202139676 CASP8 SE 10b CASP8 rMATS_2080
CASP8,chr2,+,202137620,202137665,202137360,202137499,202141549,202141691 CASP8 SE 10c_v1 CASP8 rMATS_2081
CASP8,chr2,+,202137620,202137923,202137360,202137499,202139611,202139676 CASP8 SE 10 CASP8 rMATS_2082
CASP8,chr2,+,202137620,202137923,202137360,202137499,202141549,202141827 CASP8 SE 10a_v1 CASP8 rMATS_2083
CASP8,chr2,+,202137620,202141827,202137620,202137665,202141549,202141827 CASP8 RI 10-12 CASP8 rMATS_2084
CASP8,chr2,+,202137825,202137923,202137620,202137665,202141549,202141827 CASP8 SE U1 CASP8 rMATS_2085
CASP8,chr2,+,202137825,202139676,202137360,202137499,202141549,202141827 CASP8 SE 11 CASP8 rMATS_2086
CASP8,chr2,+,202137825,202139676,202137620,202137665,202141549,202141827 CASP8 SE 11a_v1 CASP8 rMATS_2087
CASP8,chr2,+,202139611,202139676,202137360,202137499,202141549,202141691 CASP8 SE 11b CASP8 rMATS_2088
CASP8,chr2,+,202139611,202139676,202137360,202137665,202141549,202141691 CASP8 SE 11c_v1 CASP8 rMATS_2089
CASP8,chr2,+,202140245,202140359,202137620,202137665,202141549,202141827 CASP8 SE U2 CASP8 rMATS_2090
CASP8,chr2,+,202141549,202141827,202141549,202141691,202149538,202150040 CASP8 A5SS 12 CASP8 rMATS_2091
CASP8AP2,chr6,+,90575671,90578801,90566802,90566918,90581007,90581107 CASP8AP2 SE 9 CASP8AP2 rMATS_2092
CAST,chr5,+,96027771,96031611,96031539,96031611,96011242,96011305 CAST A3SS U1 CAST rMATS_2093
CAST,chr5,+,96078358,96079450,96077197,96077284,96082045,96082129 CAST SE 21,22 CAST rMATS_2094
CAST,chr5,+,96089763,96093198,96089763,96090445,96093147,96093198 CAST RI 27-29 CAST rMATS_2095
CAST,chr5,+,96093147,96093198,96089763,96090445,96097977,96098076 CAST SE 29 CAST rMATS_2096
CAST,chr5,+,96097977,96101029,96097977,96098076,96100927,96101029 CAST,ERAP1 RI 31-32,24-32 CAST,ERAP1 rMATS_2097
CAT,chr11,+,34461255,34470910,34460471,34460626,34472534,34472645 CAT SE 2 CAT rMATS_2098
CAT,chr11,+,34474636,34474741,34474656,34474741,34472534,34473754 CAT A3SS 5 CAT rMATS_2099
CBFB,chr16,+,67070577,67070658,67063629,67063716,67100584,67100701 CBFB SE 3 CBFB rMATS_2100
CBFB,chr16,+,67116115,67116242,67116115,67116211,67132612,67133149 CBFB A5SS 5 CBFB rMATS_2101
CBLB,chr3,-,105400322,105400454,105389076,105397415,105400567,105400662 CBLB SE 19 CBLB rMATS_2102
CBR4,chr4,-,169910155,169911479,169910155,169910233,169923221,169923356 CBR4 A3SS 5 CBR4 rMATS_2103
CBWD2,chr2,+,114196596,114196694,114195267,114195599,114198927,114199014 CBWD2 SE 5a CBWD2 rMATS_2104
CBWD2,chr2,+,114196596,114196698,114195355,114195599,114198927,114199014 CBWD2 SE 5 CBWD2 rMATS_2105
CBWD2,chr2,+,114214641,114214781,114212317,114212355,114218249,114218296 CBWD2 SE 13a CBWD2 rMATS_2106
CBWD2,chr2,+,114214641,114214786,114212317,114212355,114218249,114218296 CBWD2 SE 13b CBWD2 rMATS_2107
CBWD2,chr2,+,114214641,114214793,114212317,114212355,114218249,114218296 CBWD2 SE 13 CBWD2 rMATS_2108
CBWD3,chr9,-,70472571,70472659,70467483,70467530,70473436,70473474 CBWD5 SE 13 CBWD5 rMATS_2109
CBWD3,chr9,-,70480205,70480381,70475018,70475078,70483187,70483279 CBWD3 SE U1 CBWD3 rMATS_2110
CBX3,chr7,+,26248012,26248175,26248085,26248175,26245987,26246130 CBX3 A3SS 5 CBX3 rMATS_2111
CBX6,chr22,-,39267906,39267950,39267696,39267762,39268126,39268221 CBX6 SE 2 CBX6 rMATS_2112
CCAR1,chr10,+,70506917,70507323,70506917,70506942,70507130,70507323 CCAR1 RI 7-8 CCAR1 rMATS_2113
CCAR1,chr10,+,70514470,70516389,70514470,70516240,70517050,70517134 CCAR1 A5SS 14a CCAR1 rMATS_2114
CCAR1,chr10,+,70514470,70516901,70514470,70516240,70517050,70517134 CCAR1 A5SS 14 CCAR1 rMATS_2115
CCAR1,chr10,+,70520763,70520949,70511755,70517134,70530962,70531202 CCAR1 SE 16 CCAR1 rMATS_2116
CCBL2.RBMXL1,chr1,-,89453934,89454034,89443403,89445932,89458267,89458431 CCBL2,RBMXL1 SE 2 CCBL2,RBMXL1 rMATS_2117
CCDC109B,chr4,+,110585445,110585550,110581350,110581521,110603737,110603898 CCDC109B SE 4 CCDC109B rMATS_2118
CCDC109B,chr4,+,110605598,110605802,110603737,110603898,110606406,110606523 CCDC109B SE 6 CCDC109B rMATS_2119
CCDC109B,chr4,+,110605598,110605802,110605598,110605705,110606406,110606523 CCDC109B A5SS 6 CCDC109B rMATS_2120
CCDC125,chr5,-,68588014,68588174,68581163,68581294,68590619,68590727 CCDC125 SE 13 CCDC125 rMATS_2121
CCDC125,chr5,-,68588014,68588189,68581163,68581294,68590619,68590727 CCDC125 SE 13a CCDC125 rMATS_2122
CCDC125,chr5,-,68602643,68602749,68599673,68599756,68603777,68603855 CCDC125 SE 8a CCDC125 rMATS_2123
CCDC125,chr5,-,68602643,68602749,68602643,68602729,68603777,68603855 CCDC125 A3SS 8 CCDC125 rMATS_2124
CCDC125,chr5,-,68602643,68602764,68599493,68599756,68603777,68603855 CCDC125 SE 8 CCDC125 rMATS_2125
CCDC125,chr5,-,68609811,68609870,68605706,68607031,68616063,68616172 CCDC125 SE 5 CCDC125 rMATS_2126
CCDC125,chr5,-,68609811,68609870,68605706,68607031,68616291,68616407 CCDC125 SE 5_v1 CCDC125 rMATS_2127
CCDC125,chr5,-,68609811,68609873,68606637,68607031,68616063,68616172 CCDC125 SE 5a CCDC125 rMATS_2128
CCDC137,chr17,+,79637254,79637483,79637259,79637483,79634758,79634892 CCDC137 A3SS 3 CCDC137 rMATS_2129
CCDC14,chr3,-,123632273,123634565,123632273,123634136,123649948,123650081 CCDC14 A3SS 13a CCDC14 rMATS_2130
CCDC14,chr3,-,123632320,123634136,123632320,123633979,123649948,123650081 CCDC14 A3SS 13 CCDC14 rMATS_2131
CCDC14,chr3,-,123665649,123666166,123666126,123666166,123663695,123663837 CCDC14 A5SS 8 CCDC14 rMATS_2132
CCDC14,chr3,-,123674689,123675642,123674689,123675274,123675495,123675642 CCDC14 RI 5-2 CCDC14 rMATS_2133
CCDC14,chr3,-,123675586,123675642,123667742,123675274,123679990,123680090 CCDC14 SE 2 CCDC14 rMATS_2134
CCDC171,chr9,+,15594038,15594170,15591363,15591554,15623264,15623411 C9orf93 SE 8 C9orf93 rMATS_2135
CCDC174,chr3,+,14709555,14709688,14708311,14708454,14711440,14711593 C3orf19 SE 9 C3orf19 rMATS_2136
CCDC176,chr14,+,74500730,74500874,74495886,74495952,74507267,74507348 C14orf45 SE 5 C14orf45 rMATS_2137
CCDC18,chr1,+,93649534,93649703,93645072,93649052,93651901,93652060 CCDC18 SE 3 CCDC18 rMATS_2138
CCDC18,chr1,+,93671066,93671188,93667448,93667545,93672663,93672955 CCDC18 SE 8 CCDC18 rMATS_2139
CCDC18,chr1,+,93676358,93676483,93676406,93676483,93672663,93672955 CCDC18 A3SS 10 CCDC18 rMATS_2140
CCDC18,chr1,+,93677657,93677818,93676293,93676483,93680302,93680523 CCDC18 SE 11 CCDC18 rMATS_2141
CCDC18,chr1,+,93683278,93683426,93682192,93682303,93687165,93687300 CCDC18 SE 14b CCDC18 rMATS_2142
CCDC18,chr1,+,93683294,93683426,93682192,93682303,93687165,93687300 CCDC18 SE 14c CCDC18 rMATS_2143
CCDC18,chr1,+,93683294,93684209,93682192,93682303,93687165,93687300 CCDC18 SE 14a CCDC18 rMATS_2144
CCDC18,chr1,+,93683294,93686027,93682192,93682303,93687165,93687300 CCDC18 SE 14 CCDC18 rMATS_2145
CCDC18,chr1,+,93684059,93686027,93683294,93683426,93687165,93687300 CCDC18 SE U1 CCDC18 rMATS_2146
CCDC18,chr1,+,93685245,93686027,93683294,93683426,93687165,93687300 CCDC18 SE U2 CCDC18 rMATS_2147
CCDC18,chr1,+,93685854,93686027,93683294,93683426,93687165,93687300 CCDC18 SE U3 CCDC18 rMATS_2148
CCDC18,chr1,+,93702818,93702937,93701804,93701947,93704866,93705030 CCDC18 SE U4 CCDC18 rMATS_2149
CCDC25,chr8,-,27606011,27606115,27605592,27605796,27610028,27610104 CCDC25 SE 7 CCDC25 rMATS_2150
CCDC25,chr8,-,27614235,27614287,27610028,27610104,27619935,27619975 CCDC25 SE 5 CCDC25 rMATS_2151
CCDC47,chr17,-,61838273,61838711,61838273,61838339,61838589,61838711 CCDC47 RI 7-6 CCDC47 rMATS_2152
CCDC53,chr12,-,102411497,102411583,102399044,102406970,102419751,102419816 CCDC53 SE 8 CCDC53 rMATS_2153
CCDC53,chr12,-,102443966,102444065,102439831,102439897,102455025,102455771 CCDC53 SE 3 CCDC53 rMATS_2154
CCDC53,chr12,-,102443966,102444069,102439831,102439897,102455025,102455124 CCDC53 SE 3a CCDC53 rMATS_2155
CCDC53,chr12,-,102455025,102455124,102439831,102439897,102455689,102455766 CCDC53 SE 2 CCDC53 rMATS_2156
CCDC6,chr10,-,61554230,61554355,61548505,61552869,61564177,61564278 CCDC6 SE 8 CCDC6 rMATS_2157
CCDC66,chr3,+,56593596,56593622,56592873,56592938,56597711,56597853 CCDC66 SE 3 CCDC66 rMATS_2158
CCDC66,chr3,+,56594889,56594996,56593596,56593622,56597711,56598153 CCDC66 SE 4a CCDC66 rMATS_2159
CCDC66,chr3,+,56594889,56595406,56592873,56593622,56597711,56597853 CCDC66 SE 4 CCDC66 rMATS_2160
CCDC66,chr3,+,56597679,56598153,56597711,56598153,56593596,56593622 CCDC66 A3SS U1 CCDC66 rMATS_2161
CCDC66,chr3,+,56600621,56600787,56600621,56600768,56600977,56601081 CCDC66 A5SS 6 CCDC66 rMATS_2162
CCDC66,chr3,+,56600621,56601081,56600621,56600768,56600977,56601081 CCDC66 RI 6-7 CCDC66 rMATS_2163
CCDC66,chr3,+,56627518,56627769,56627647,56627769,56626997,56627129 CCDC66 A3SS 13 CCDC66 rMATS_2164
CCDC69,chr5,-,150564985,150565102,150563904,150564002,150565583,150565685 CCDC69 SE 7 CCDC69 rMATS_2165
CCDC69,chr5,-,150584138,150585036,150581142,150581249,150603483,150603615 CCDC69 SE 2 CCDC69 rMATS_2166
CCDC7,chr10,+,32751944,32751977,32751610,32751631,32761408,32761470 C10orf68,CCDC7 SE 6 C10orf68,CCDC7 rMATS_2167
CCDC7.C10orf68,chr10,+,32860786,32860821,32856597,32856819,32871996,32872235 C10orf68,CCDC7 SE 17,18 C10orf68,CCDC7 rMATS_2168
CCDC7.C10orf68,chr10,+,32860786,32860821,32856597,32856819,32872095,32872235 C10orf68,CCDC7 SE 17,18_v1 C10orf68,CCDC7 rMATS_2169
CCDC82,chr11,-,96092156,96092342,96092156,96092261,96098143,96098314 CCDC82 A3SS 10 CCDC82 rMATS_2170
CCDC84,chr11,+,118869139,118869303,118868842,118869027,118869720,118869819 CCDC84 SE 2 CCDC84 rMATS_2171
CCDC88A,chr2,-,55522732,55523192,55522732,55522863,55523085,55523192 CCDC88A RI 32-32 CCDC88A rMATS_2172
CCDC88A,chr2,-,55525060,55527055,55522732,55523659,55528341,55528413 CCDC88A SE 30a CCDC88A rMATS_2173
CCDC88A,chr2,-,55526967,55527055,55523393,55523659,55528341,55528413 CCDC88A SE 30 CCDC88A rMATS_2174
CCDC88A,chr2,-,55529007,55529208,55525060,55528413,55535944,55536159 CCDC88A SE 28 CCDC88A rMATS_2175
CCDC88A,chr2,-,55530204,55530288,55528341,55528413,55535944,55536159 CCDC88A SE 27 CCDC88A rMATS_2176
CCDC88A,chr2,-,55544341,55544485,55543063,55543250,55544699,55544977 CCDC88A SE 22 CCDC88A rMATS_2177
CCDC88B,chr11,+,64111468,64112629,64110498,64111386,64116802,64116930 CCDC88B SE 15b CCDC88B rMATS_2178
CCDC88B,chr11,+,64111531,64112629,64111249,64111386,64116802,64116930 CCDC88B SE 15a CCDC88B rMATS_2179
CCDC88B,chr11,+,64112440,64112629,64111249,64111386,64116802,64116930 CCDC88B SE 15 CCDC88B rMATS_2180
CCDC88B,chr11,+,64121475,64121642,64121475,64121500,64122665,64122872 CCDC88B A5SS 26a CCDC88B rMATS_2181
CCDC88B,chr11,+,64121475,64121990,64121475,64121500,64122665,64122872 CCDC88B A5SS 26 CCDC88B rMATS_2182
CCDC88B,chr11,+,64121475,64122872,64121475,64121500,64122665,64122872 CCDC88B RI 26-27 CCDC88B rMATS_2183
CCDC88B,chr11,+,64121475,64123100,64121475,64122872,64123031,64123100 CCDC88B RI 26-28 CCDC88B rMATS_2184
CCDC88B,chr11,+,64123010,64123100,64123031,64123100,64122665,64122872 CCDC88B A3SS U1 CCDC88B rMATS_2185
CCDC88C,chr14,-,91751738,91752180,91749672,91749861,91755448,91755687 CCDC88C SE 29 CCDC88C rMATS_2186
CCDC90B,chr11,-,82976906,82977021,82970134,82973008,82984689,82984743 CCDC90B SE 9 CCDC90B rMATS_2187
CCDC90B,chr11,-,82985681,82985783,82984993,82985035,82991183,82991303 CCDC90B SE 4 CCDC90B rMATS_2188
CCDC90B,chr11,-,82989768,82989872,82985681,82985783,82991183,82991303 CCDC90B SE 3 CCDC90B rMATS_2189
CCDC91,chr12,+,28408513,28408595,28375534,28378794,28410134,28410178 CCDC91 SE U1 CCDC91 rMATS_2190
CCDC93,chr2,-,118698760,118698873,118693705,118694315,118701599,118701662 CCDC93 SE 19 CCDC93 rMATS_2191
CCDC93,chr2,-,118701599,118701662,118693705,118694315,118703104,118703158 CCDC93 SE 18 CCDC93 rMATS_2192
CCDC93,chr2,-,118731483,118731568,118715940,118716057,118732425,118732476 CCDC93 SE 11 CCDC93 rMATS_2193
CCDC93,chr2,-,118758396,118758508,118753839,118753938,118764297,118764392 CCDC93 SE 4d CCDC93 rMATS_2194
CCDC93,chr2,-,118758396,118758651,118753839,118753938,118764297,118764392 CCDC93 SE 4c CCDC93 rMATS_2195
CCDC93,chr2,-,118758396,118759194,118753839,118753938,118764297,118764392 CCDC93 SE 4b CCDC93 rMATS_2196
CCDC93,chr2,-,118758396,118759848,118753839,118753938,118764297,118764392 CCDC93 SE 4a CCDC93 rMATS_2197
CCDC93,chr2,-,118758396,118762360,118753839,118753938,118764297,118764392 CCDC93 SE 4 CCDC93 rMATS_2198
CCL4,chr17,+,34431920,34432035,34431219,34431374,34432617,34433014 CCL4 SE 2a CCL4 rMATS_2199
CCL4,chr17,+,34431920,34432072,34431219,34431374,34432617,34433014 CCL4 SE 2 CCL4 rMATS_2200
CCNB1,chr5,+,68470077,68470236,68467096,68467279,68470703,68470940 CCNB1 SE 5 CCNB1 rMATS_2201
CCNB2,chr15,+,59408888,59409125,59406888,59407075,59409426,59409567 CCNB2 SE 6 CCNB2 rMATS_2202
CCNC,chr6,-,99998093,99998140,99997383,99997451,99998868,99998904 CCNC SE 8a CCNC rMATS_2203
